RNF35:  TRIM40 TRIM61
TPP1:  ACD TPP1 TTPA
MPP2:  FOXM1 MPP2
MPP7:  CHAF1B MPP7
MPP6:  MPHOSPH6 MPP6
HLAH:  HFE HLA-H
GSTT2:  GSTT2 GSTT2B
PRSP:  HTRA3 MSMB
SCAP:  SCAP SH2D2A
ZNF91L:  ZNF208 ZNF254
SCA2:  ATXN2 LY6E
SSB1:  NABP2 SPSB1
HMX3:  HMX3 PELP1
RPEL1:  PHACTR1 RPEL1
SPN:  DEAF1 SPN
SP1:  DAND5 SP1
ARC34:  ARPC2 MED7
GRP:  GRP LGALSL
GRL:  NR3C1 HEY2
PABPC1L2:  PABPC1L2A PABPC1L2B
FRP1:  ATR SFRP1
C11orf3:  EMC7 VPS51
C11orf2:  IFT46 VPS51
C11orf5:  CWC15 ZNHIT2
RAC3:  NCOA3 RAC3
PLA2L:  OC90 PLA2G2A
MRPL27:  MRPL27 MRPL41
MRPL28:  MRPL28 MRPL30
MYO1C:  MYO1C MYO1E
NMB:  GPNMB NMB
EVI1:  CCR7 MECOM
RASSF4:  RASSF4 RIN2
CHD5:  CHD5 CHD6 WRB
CAP1:  CAP1 TRAF3
CAPS:  CADPS CAPS
CAPG:  CAPG NCAPG
CAPC:  LRRC26 SMC4
SLC23A1:  SLC23A1 SLC23A2
PPP1R6:  PPP1R9B PPP1R3D
BRF2:  BRF2 ZFP36L2
BRF1:  BRF1 ZFP36L1
HSS:  SPAG9 SGSH
ACAT1:  SOAT1 ACAT1
CDK11:  CDK11B CDK19
MMP25:  MMP25 MMP28
MMP21:  MMP21 MMP23A MMP23B
B3GNT1:  B3GNT2 B4GAT1
B3GNT8:  B3GNT8 B3GNTL1
RHE:  FIP1L1 RHCE
THG1:  RHOXF2 TSC22D4
DDX21:  DDX21 DDX56
SIGLECL1:  SIGLEC12 SIGLECL1
HBP:  HEBP1 SLBP STAM2 HDLBP
FCT3A:  FUT4 FUT6
NAPA:  NAPSA NAPA
NAP1:  AZI2 NAA25 NAPSA NCKAP1
AIP:  AIP AURKAIP1
MCSP:  CSPG4 SMCP
NUDT10:  NUDT10 NUDT9
DRG1:  DRG1 NDRG1
CXorf2:  SLITRK2 TEX28
PDZK4:  FRMPD2 PDZD4
SMO:  SMOX SMO
AGT1:  SLC7A13 AGXT
NET:  ELK3 EPHB1
GAGE12I:  GAGE7 GAGE12I
CHL1:  DDX11 CHL1
HOX4E:  HOXD10 HOXD8
FPRH1:  FPR2 FPR3
SIAT2:  B4GALNT1 ST6GAL2
FBL4:  FBXL4 FBXL5
MCP:  CAPG CD46
CRN:  CBR1 CORIN CRNKL1
PSK:  SEZ6L2 TAOK2
PSA:  NPEPPS PSAT1
NBC3:  SLC4A7 SLC4A8
G6PT:  G6PC SLC37A4
OCMN:  OCM2 OCM
CIB:  ABHD14B CIB1
MSAP:  CNPY2 MTAP
BACH1:  BACH1 BRIP1
CA11:  CA11 GKN1
PIG1:  LGALS7 NUFIP2
SGLT2:  SLC5A2 SLC5A4
ZFP36:  ZFP36 ZNF823
MS4A13:  MS4A13 MS4A14
CACNG6:  CACNG6 CACNG8
PTGER2:  PTGER2 PTGER4
B3GALT7:  B3GNT2 B3GNT8
STK1:  AURKB CDK7 FLT3
STK2:  NEK4 SLK
STK3:  STK24 STK3
DRP3:  DPYSL3 DTNA
DRP1:  DENR DNM1L UTRN
SARA:  SAR1A ZFYVE9
EDG2:  BUD31 LPAR1
EDG1:  HEXIM1 S1PR1
FCGR3:  FCGR3A FCGR3B
SFTP1:  SFTPA2 SFTPA1
NRP1:  NELL1 NRP1
NRP2:  NELL2 NRP2
ARL17A:  ARL17A ARL17B
SOAT:  SOAT1 SLC10A6
ESP1:  ESPL1 PRSS21
REN:  KCTD11 REN
CAS:  BCAR1 CSE1L
CAR:  ARR3 CXADR NR1I3 SPG7
CAT:  CAT GLYAT
CAK:  CDK7 DDR1
MAK3:  NAA30 NAA50
CAD:  CALD1 DFFB CAD
ARSA:  ARSA ASNA1
ZNF233:  ZNF224 ZNF233
PSEC0072:  ATP6AP2 SIDT2
ZNF230:  RNF141 ZNF230
WBSCR20B:  NSUN5P1 NSUN5P2
GNT1:  UGT1A10 UGT1A1 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9
SLFN5:  SLFN5 SLFN12L
TRAM1:  NCOA3 TRAM1
MID1:  MPG MID1
ROC1:  RBX1 RIT1
ROC2:  RNF7 RIT2
KCNMB2:  KCNMB2 KCNMB3
NPH1:  NPHP1 NXPH1
CXorf11:  DHRSX ZDHHC9
CCTB:  PCYT1B CCT2
LBH:  C6orf1 LBH
IMP2:  IGF2BP2 SPPL3
IMP3:  IGF2BP3 IMP3 SPPL2A
IMP4:  IMP4 SPPL2B
F8A:  F8A1 F8A2 F8A3
GLUT9:  SLC2A6 SLC2A9
SWS1:  EFHD2 ZSWIM7
TMSA:  PTMA TPM1
APT1:  LYPLA1 FAS
TUBB4:  TUBB3 TUBB4A
SCP1:  CTDSP1 SCPEP1 SYCP1
BAT1:  SLC7A9 DDX39B
MSF:  PRG4 SEPT9
Nbla10363:  LRRN3 TEX10
G5:  ABHD16A GPANK1
FBX30:  FBXO30 FBXO44 FBXW7
HRMT1L3:  PRMT3 PRMT8
PRH:  HHEX PRLH
PRP:  ABCB6 PRNP
ATX:  ENPP2 SMG1
ERF1:  ETF1 ZFP36L1
TRIP:  LRRFIP1 TRAIP
PTH2:  PTRH2 PTH2
NIP1:  NECAB3 BNIP1
TEC:  NR4A3 TEC
L1CAM:  L1CAM VCAM1
FCG2:  FCGR2A FCGR2B FCGR2C
FCG3:  FCGR3A FCGR3B
MCP1:  CCL2 HSMCR30
TRP1:  TRPC1 PRSS1
ACCA:  ACACA GPR3
GJA10:  GJA10 GJA9
SMAP:  BRD8 KIFAP3 SMAP
TBL1:  TBL1X TBL1Y
STF1:  CSTA PDX1
BLU:  UBE2N ZMYND10
SIRPB2:  SIRPB2 SIRPG
LEPR:  LEPR LEPROT
GPRK7:  GRK7 MKNK2
HSP27:  HSPB1 HSPB3
TRPC7:  TRPC7 TRPM2
DBC1:  BRINP1 CCAR2
NOD5:  NLRP14 NLRX1
ATP6G:  ATP6V1G1 ATP6V1G2
ATP6D:  ATP6V0D1 ATP6V1C1
ATP6C:  ATP6V1C1 ATP6V0C
TRAM:  TICAM2 TRAM1
TRAP:  CD40LG SCYL1
KCP1:  KCP PERP
HYAL3:  HYAL3 SPAM1
SOX12:  SOX12 SOX15
CLL1:  CLEC12A COLEC10
HES1:  C21orf33 HES1
PLAC8:  PLAC8 LGALS13
SPS1:  SRM SEPHS1
RAB1C:  RAB1C RAB35
GAL:  GAL GCSAM
DEF6:  DEFA6 DEF6
LRN:  LOR LRCH4
EHD2:  EHD2 EHD3
MUC3:  MUC17 MUC3A
VLP:  CPVL VHLL
MAGEA2:  MAGEA2 MAGEA2B
STN1:  OBFC1 STON1
RANBP2L2:  RGPD2 RGPD6
PACT:  PRKRA RBBP6
GLUT8:  SLC2A12 SLC2A8
GLUT3:  SLC2A14 SLC2A3
CAMP:  CAMP CHAMP1
CAMK:  CAMK2G CAMK4
CAM2:  CALM2 CAMK2B
UMPK:  CMPK1 UCK2
RAD54L:  ATRX RAD54L
SMAP1:  SMAP1 UNC45A
SMAP2:  BRD8 SMAP2 SMOC2
ECO:0000303|Ref.8}:  IGHV3-23 IGHV3-30 IGKV1-5
MOX1:  MEOX1 NOX1 CD200
MOX2:  MEOX2 NOX3 CD200
PBP:  MED1 PEBP1
PBI:  APOBEC3C SMR3A
TRY1:  PRSS58 PRSS1
HIST1H2AI:  HIST1H2AH HIST1H2AI
PSF1:  GINS1 TAP1
PSF2:  GINS2 TAP2
PTX1:  CRP ERGIC2 PITX1
PTX3:  PITX3 PTX3
MAD3:  NFKBIA MXD3
SERPINA11:  SERPINA11 SERPINA9
CLP:  COTL1 CSRP3
RNS4:  RNASEL RNASE4
NTE:  NT5E PNPLA6
TUBB5:  TUBB4A TUBB
QARS:  EPRS QARS
CEP68:  CEP68 CRTAC1
SCHAD:  HSD17B10 HADH
HTT:  HTT SLC6A4
NGN:  NEO1 NEUROG1
SCG2:  MEN1 SCG2
SIP1:  GEMIN2 SCAF11 ZEB2
PIT1:  POU1F1 SLC20A1
MART1:  MLANA RTL1
MART2:  HHAT PEG10
CDH1:  CDH1 FZR1
CDH3:  CDH15 CDH3
MEGF7:  EGFL7 LRP4
SLC6A5:  SLC6A2 SLC6A5
MED25:  MED25 MED9
PARPL:  PARP4 TNKS
AMY1:  AMY1A AMY1B AMY1C MYCBP
MOP4:  NPAS2 UBA6
MOP5:  NPAS1 SAMHD1
MOP6:  ARIH1 NPAS3
MOP3:  ARNTL SBNO1
MRP8:  ABCC11 S100A8
ALB:  ALB FBF1
RFT1:  RFT1 SLC52A1
ALR:  AKR1A1 GFER KMT2D
ALP:  ASRGL1 NAT10 PDLIM3
DNF15S2:  APEH MST1
PTPA:  PPP2R4 PTPRA
OBR:  LEPR LEPROT
